first_name,last_name,position,position_alt,injury_status,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Grayson,Allen,SG,SF,,2024-01-03,,PHO,LAC,+4,232,114,6000,17,25.0,31.0,48.0,25.1,4.18
Kelly,Olynyk,C,,,2024-01-03,,UTA,DET,-8.5,240,124.3,5200,29,15.3,27.8,45.5,25.0,4.81
Bobby,Portis,PF,C,,2024-01-03,,MIL,IND,-3.5,257,130.3,5700,30,16.3,27.1,44.3,24.9,4.37
Alex,Caruso,SG,SF,,2024-01-03,,CHI,NY,+9,220.5,105.8,5500,16,15.0,24.2,29.8,24.8,4.51
Dennis,Schroder,PG,SG,,2024-01-03,,TOR,MEM,+1,227.5,113.3,6000,20,27.8,32.8,44.5,24.6,4.10
Keyonte,George,PG,,,2024-01-03,,UTA,DET,-8.5,240,124.3,5700,12,-1.0,17.6,33.0,24.5,4.30
Bennedict,Mathurin,SG,SF,,2024-01-03,,IND,MIL,+3.5,257,126.8,5500,1,5.5,21.8,42.8,24.5,4.45
Luguentz,Dort,SF,,,2024-01-03,,OKC,ATL,-1,248,124.5,5000,20,11.0,24.8,34.5,24.3,4.86
John,Collins,PF,C,,2024-01-03,,UTA,DET,-8.5,240,124.3,5300,26,13.0,19.6,25.0,24.3,4.58
Donte,DiVincenzo,SG,SF,,2024-01-03,,NY,CHI,-9,220.5,114.8,5100,25,12.3,27.3,61.5,24.1,4.73
Scoot,Henderson,PG,,,2024-01-03,,POR,DAL,+11.5,238.5,113.5,6300,7,22.3,36.0,52.3,23.8,3.78
Simone,Fontecchio,SF,PF,,2024-01-03,,UTA,DET,-8.5,240,124.3,5100,19,8.8,20.5,41.5,23.8,4.67
Chimezie,Metu,PF,C,,2024-01-03,,PHO,LAC,+4,232,114,5100,5,5.0,23.3,52.8,23.5,4.61
Bruce,Brown,PG,SF,Q,2024-01-03,,IND,MIL,+3.5,257,126.8,5800,29,9.5,18.7,27.3,23.5,4.05
Russell,Westbrook,PG,,,2024-01-03,,LAC,PHO,-4,232,118,6000,23,20.5,31.6,44.3,23.3,3.88
Aaron,Nesmith,SF,PF,,2024-01-03,,IND,MIL,+3.5,257,126.8,5600,17,12.3,22.6,33.8,23.0,4.11
Patrick,Williams,SF,PF,Q,2024-01-03,,CHI,NY,+9,220.5,105.8,5400,22,4.3,18.4,37.8,23.0,4.26
Isaac,Okoro,SF,PF,,2024-01-03,,CLE,WAS,-9.5,239.5,124.5,5000,23,18.5,24.9,30.3,22.7,4.54
Onyeka,Okongwu,PF,C,,2024-01-03,,ATL,OKC,+1,248,123.5,5300,22,16.3,26.1,37.3,22.1,4.17
Derrick,Jones Jr.,SF,PF,,2024-01-03,,DAL,POR,-11.5,238.5,125,5200,9,13.3,25.3,34.3,22.0,4.23
Josh,Hart,SF,PF,,2024-01-03,,NY,CHI,-9,220.5,114.8,5400,27,9.5,22.9,30.3,21.9,4.06
Gary,Trent Jr.,PG,SG,,2024-01-03,,TOR,MEM,+1,227.5,113.3,5400,20,17.0,25.2,44.3,21.6,4.00
Malik,Beasley,SG,,,2024-01-03,,MIL,IND,-3.5,257,130.3,5000,29,6.8,20.6,30.5,21.5,4.30
Obi,Toppin,PF,C,,2024-01-03,,IND,MIL,+3.5,257,126.8,4600,3,12.5,19.3,28.5,21.5,4.67
Cam,Thomas,SG,SF,,2024-01-03,,BKN,HOU,+5,220.5,107.8,6100,28,4.0,15.8,25.8,21.3,3.48
Jaden,Hardy,PG,SG,,2024-01-03,,DAL,POR,-11.5,238.5,125,4700,21,7.5,18.2,26.5,21.3,4.53
Buddy,Hield,SG,SF,,2024-01-03,,IND,MIL,+3.5,257,126.8,5700,1,3.8,22.5,35.8,20.6,3.61
Dorian,Finney-Smith,PF,C,,2024-01-03,,BKN,HOU,+5,220.5,107.8,4900,1,14.0,19.4,24.0,20.5,4.18
Ayo,Dosunmu,PG,SG,,2024-01-03,,CHI,NY,+9,220.5,105.8,4900,15,8.8,22.0,40.8,20.4,4.16
Kris,Dunn,PG,SF,,2024-01-03,,UTA,DET,-8.5,240,124.3,4700,12,14.0,22.7,41.5,20.0,4.26
