Athlete,Draftkings Price,DK NBA Ownership Projection,Fanduel Price,FD NBA Ownership Projection
Jaden Hardy,"$4,700",1.90%,"$4,500",3.40%
Scoot Henderson,"$6,300",0.10%,"$6,500",0.10%
Jaden Ivey,"$6,000",5.50%,"$6,200",7.90%
Jabari Smith Jr,"$6,800",3.30%,"$6,700",11.70%
Chet Holmgren,"$8,000",3.40%,"$8,400",7.30%
Bennedict Mathurin,"$5,500",0.30%,"$5,300",2.40%
Shaedon Sharpe,"$6,000",0.10%,"$6,200",0.10%
Jalen Duren,"$6,900",8.40%,"$7,700",2.30%
Jalen Williams,"$7,300",0.50%,"$7,100",8.30%
Walker Kessler,"$5,400",14.00%,"$6,600",2.60%
Jaylin Williams,"$3,600",0.10%,"$4,200",0.10%
Jabari Walker,"$5,400",0.10%,"$5,700",0.10%
Dalen Terry,"$3,300",1.00%,"$3,700",0.80%
Simone Fontecchio,"$5,100",0.90%,"$5,000",4.50%
Amen Thompson,"$4,100",2.10%,"$4,400",2.90%
Ausar Thompson,"$4,100",1.90%,"$5,100",0.40%
Cason Wallace,"$3,800",0.50%,"$4,000",1.30%
Keyonte George,"$5,700",6.60%,"$5,800",10.10%
Dereck Lively II,"$5,500",9.30%,"$6,300",0.40%
Bilal Coulibaly,"$5,200",0.10%,"$4,700",0.10%
Toumani Camara,"$4,800",0.10%,"$4,800",0.10%
Craig Porter Jr,"$5,000",0.10%,"$5,900",0.10%
