Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Kalel Mullings (40259904),Kalel Mullings,40259904,RB/FLEX,4000,TEN@ARI 10/05/2025 04:05PM ET,TEN,0
QB,Teddy Bridgewater (40259062),Teddy Bridgewater,40259062,QB,4000,TB@SEA 10/05/2025 04:05PM ET,TB,0
QB,Drew Lock (40259245),Drew Lock,40259245,QB,4000,TB@SEA 10/05/2025 04:05PM ET,SEA,0.5
RB,Brady Russell (40259432),Brady Russell,40259432,RB/FLEX,4000,TB@SEA 10/05/2025 04:05PM ET,SEA,0
QB,Connor Bazelak (40259694),Connor Bazelak,40259694,QB,4000,TB@SEA 10/05/2025 04:05PM ET,TB,0
RB,Kenny McIntosh (40259697),Kenny McIntosh,40259697,RB/FLEX,4000,TB@SEA 10/05/2025 04:05PM ET,SEA,0
RB,Josh Williams (40259709),Josh Williams,40259709,RB/FLEX,4000,TB@SEA 10/05/2025 04:05PM ET,TB,0
RB,George Holani (40259754),George Holani,40259754,RB/FLEX,4000,TB@SEA 10/05/2025 04:05PM ET,SEA,1.3
WR,Jalen McMillan (40259790),Jalen McMillan,40259790,WR/FLEX,4000,TB@SEA 10/05/2025 04:05PM ET,TB,0
RB,Sean Tucker (40259879),Sean Tucker,40259879,RB/FLEX,4000,TB@SEA 10/05/2025 04:05PM ET,TB,0.05
RB,Robbie Ouzts (40259951),Robbie Ouzts,40259951,RB/FLEX,4000,TB@SEA 10/05/2025 04:05PM ET,SEA,0
QB,Jalen Milroe (40260009),Jalen Milroe,40260009,QB,4000,TB@SEA 10/05/2025 04:05PM ET,SEA,0.2
QB,C.J. Beathard (40259090),C.J. Beathard,40259090,QB,4000,DET@CIN 10/05/2025 04:25PM ET,DET,0
QB,Mike White (40259115),Mike White,40259115,QB,4000,DET@CIN 10/05/2025 04:25PM ET,CIN,0
QB,Kyle Allen (40259153),Kyle Allen,40259153,QB,4000,DET@CIN 10/05/2025 04:25PM ET,DET,-0.1
QB,Brett Rypien (40259217),Brett Rypien,40259217,QB,4000,DET@CIN 10/05/2025 04:25PM ET,CIN,0
QB,Joe Burrow (40259229),Joe Burrow,40259229,QB,4000,DET@CIN 10/05/2025 04:25PM ET,CIN,7.93
QB,Sean Clifford (40259443),Sean Clifford,40259443,QB,4000,DET@CIN 10/05/2025 04:25PM ET,CIN,0
RB,Gary Brightwell (40259448),Gary Brightwell,40259448,RB/FLEX,4000,DET@CIN 10/05/2025 04:25PM ET,CIN,0
RB,Jacob Saylors (40259617),Jacob Saylors,40259617,RB/FLEX,4000,DET@CIN 10/05/2025 04:25PM ET,DET,0.28
RB,Craig Reynolds (40259675),Craig Reynolds,40259675,RB/FLEX,4000,DET@CIN 10/05/2025 04:25PM ET,DET,0.13
RB,Kendall Milton (40259779),Kendall Milton,40259779,RB/FLEX,4000,DET@CIN 10/05/2025 04:25PM ET,CIN,0
